Markos the Misunderstood,Wizard,42,180,350,"{Ending Spark, Storm Strike, Second Breakfast, Incantation of Irritability}",
Markos the Misunderstood (Possessed),Possessed Wizard,50,250,300,"{Leg Sweep, Storm Strike, Second Breakfast, Incantation of Irritability}",
Undead Queen (Possessed),Possessed Zombie,37,170,270,"{Brain Muffin, Shaking Shriek, Triple Arrow, Potion Smash}",the
Sketchy Skeleton (Possessed),Possessed Skeleton,34,160,250,"{Bone Break, Skull Smash, Coffee Run, Glitter Bomb}",the
Undead Queen,Zombie Boss,31,150,220,"{Brain Muffin, Shaking Shriek, Triple Arrow, Potion Smash}",the
Undead Knight,Zombie,26,120,180,"{Shaking Shriek, Triple Arrow, Potion Smash}",an
Undead Farmer,Zombie,22,110,130,"{Shaking Shriek, Rotten Tomato Chuck, Potion Smash}",an
Undead Horse,Zombie,20,100,100,"{Shaking Shriek, Flying Side Kick}",an
Sketchy Skeleton,Skeleton Boss,25,100,170,"{Bone Break, Skull Smash, Coffee Run, Hazy Hex}",the
Skeleton Cat,Skeleton,15,70,60,"{Bone Break, Snack Time}",a
Skeleton Royal,Skeleton,20,90,90,"{Bone Break, Coffee Run, Hazy Hex}",a
Skeleton Jester,Skeleton,17,85,80,"{Bone Break, Coffee Run, Hazy Hex}",a
King Slime,Slime Boss,16,75,120,"{Slimy Slap, Acid Burn, Glitter Bomb, Snack Time}",a
Young Slime,Slime,8,41,30,"{Slimy Slap, Snack Time}",a
Sinister Slime,Slime,11,57,50,"{Slimy Slap, Snack Time, Glitter Bomb}",a
Big Slime,Slime,12,60,60,"{Slimy Slap, Snack Time, Glitter Bomb}",a
